,Z_OPT_x,ZINDEX_x,Z_OPT_y,ZINDEX_y,ZVALID,ZSUBJECT,Z_FOK_SUBJECT,ZCLIENTHEIGHT,ZCLIENTWIDTH,ZDURATION,ZCHARACTER,Gender,Handedness,Finger
125,10,1,54,125,1,3,46080,443.0,375.0,0.1170840263366699,1,0,1,1
126,10,1,54,126,1,3,64512,443.0,375.0,0.6173499822616577,9,0,1,1
127,10,1,55,127,1,3,57344,443.0,375.0,1.0841110348701477,5,0,1,1
128,10,1,60,128,1,3,67584,443.0,375.0,0.3631680011749267,0,0,1,1
129,10,1,55,129,1,3,77824,443.0,375.0,0.8167129755020142,5,0,1,1
130,10,1,56,130,1,3,62464,443.0,375.0,0.4672150015830993,2,0,1,1
131,10,1,54,131,1,3,68608,443.0,375.0,0.5006420016288757,3,0,1,1
132,10,1,54,132,1,3,76800,443.0,375.0,0.3188490271568298,7,0,1,1
133,10,1,54,133,1,3,60416,443.0,375.0,0.5339379906654358,3,0,1,1
134,10,1,54,134,1,3,45056,443.0,375.0,0.4507489800453186,6,0,1,1
135,10,1,55,135,1,3,63488,443.0,375.0,0.3340359926223755,4,0,1,1
136,10,1,54,136,1,3,48128,443.0,375.0,0.4502419829368591,3,0,1,1
137,10,1,54,137,1,3,61440,443.0,375.0,0.5328189730644226,9,0,1,1
138,10,1,55,138,1,3,72704,443.0,375.0,0.5326530337333679,3,0,1,1
139,10,1,55,139,1,3,59392,443.0,375.0,0.5001009702682495,2,0,1,1
140,10,1,57,140,1,3,82944,443.0,375.0,0.1835860013961792,1,0,1,1
141,10,1,55,141,1,3,49152,443.0,375.0,0.4339699745178222,2,0,1,1
142,10,1,55,142,1,3,73728,443.0,375.0,0.3337430357933044,4,0,1,1
143,10,1,59,143,1,3,51200,443.0,375.0,0.367296040058136,0,0,1,1
144,10,1,54,144,1,3,50176,443.0,375.0,0.6497620344161987,8,0,1,1
145,10,1,56,145,1,3,53248,443.0,375.0,0.0985539555549621,1,0,1,1
146,10,1,55,146,1,3,65536,443.0,375.0,0.9340160489082336,5,0,1,1
147,10,1,54,147,1,3,79872,443.0,375.0,0.4003859758377075,6,0,1,1
148,10,1,58,148,1,3,75776,443.0,375.0,0.3839560151100158,0,0,1,1
149,10,1,55,149,1,3,66560,443.0,375.0,0.3839059472084045,4,0,1,1
150,10,1,54,150,1,3,80896,443.0,375.0,0.7003539800643921,9,0,1,1
151,10,1,54,151,1,3,74752,443.0,375.0,0.300199031829834,7,0,1,1
152,10,1,54,152,1,3,58368,443.0,375.0,0.5145180225372314,8,0,1,1
153,10,1,54,153,1,3,47104,443.0,375.0,0.4013970494270324,6,0,1,1
154,10,1,55,154,1,3,54272,443.0,375.0,0.1336179971694946,1,0,1,1
155,10,1,60,155,1,3,78848,443.0,375.0,0.4332410097122192,0,0,1,1
156,10,1,54,156,1,3,55296,443.0,375.0,0.5675510168075562,9,0,1,1
157,10,1,55,157,1,3,52224,443.0,375.0,0.7982829809188843,5,0,1,1
158,10,1,54,158,1,3,70656,443.0,375.0,0.3004599809646606,7,0,1,1
159,10,1,54,159,1,3,43008,443.0,375.0,0.6331629753112793,8,0,1,1
160,9,2,55,160,1,4,2048,443.0,375.0,0.4015780091285705,3,0,1,0
161,9,2,54,161,1,4,12288,443.0,375.0,0.4509879946708679,9,0,1,0
162,9,2,55,162,1,4,41984,443.0,375.0,0.2165620326995849,4,0,1,0
163,9,2,54,163,1,4,3072,443.0,375.0,0.2492460012435913,7,0,1,0
164,9,2,54,164,1,4,32768,443.0,375.0,0.3320690393447876,6,0,1,0
165,9,2,55,165,1,4,11264,443.0,375.0,0.2508919835090637,4,0,1,0
166,9,2,54,166,1,4,39936,443.0,375.0,0.5164369940757751,8,0,1,0
167,9,2,54,167,1,4,10240,443.0,375.0,0.2507710456848144,7,0,1,0
168,9,2,55,168,1,4,22528,443.0,375.0,0.2346229553222656,4,0,1,0
169,9,2,55,169,1,4,40960,443.0,375.0,0.4174960255622864,3,0,1,0
170,9,2,56,170,1,4,9216,443.0,375.0,0.3490749597549438,2,0,1,0
171,9,2,60,171,1,4,23552,443.0,375.0,0.3341330289840698,0,0,1,0
172,9,2,55,172,1,4,18432,443.0,375.0,0.4837599992752075,5,0,1,0
173,9,2,54,173,1,4,37888,443.0,375.0,0.2836930155754089,6,0,1,0
174,9,2,55,174,1,4,26624,443.0,375.0,0.5164939761161804,5,0,1,0
175,9,2,54,175,1,4,6144,443.0,375.0,0.2326380014419555,7,0,1,0
176,9,2,54,176,1,4,15360,443.0,375.0,0.4662869572639465,8,0,1,0
177,9,2,54,177,1,4,19456,443.0,375.0,0.4839770197868347,8,0,1,0
